Well Name,Well Number,API 14,Chosen ID,Abstract,API 10,API 12,Basin,Block,Choke Size,Completion End Date,Completion Start Date,Country,County/Parish,Current Operator,Current Operator Alias,Drill Start Date,Elevation,Elevation Type,Field,Additive Vol (1st Job),Total Fluid/Perf LL (1st Job),Total Fluid (1st Job),Frac Vendor (1st Job),First Prod Date,Total Prop (1st Job),Total Prop/Fluid (1st Job),Total Prop/Perf LL (1st Job),First Test Flow TBG Press,First Test Gas Vol,First Test Gor,First Test Oil Vol,First Test Water Vol,Treatment Type (1st Job),Ground Elevation,Has Daily Data,Has Monthly Data,Heel Latitude,Heel Longitude,Hz Well Spacing Any Zone,Hz Well Spacing Same Zone,Landing Zone,Last Prod Date Monthly,Lateral Length,Lease Name,Lease Number,Lower Perforation,Measured Depth,Oil API Gravity,Parent Child Any Zone,Parent Child Same Zone,Perf Lateral Length,Permit Date,Play,Previous Operator,Previous Operator Alias,Prop Type,Range,Section,Spud Date,State,Status,Surface Latitude,Surface Longitude,Survey,Target Formation,Toe Latitude,Toe Longitude,Additive Vol (All Jobs),Total Fluid/Perf LL (All Jobs),Total Fluid (All Jobs),Total Prop (All Jobs),Total Prop/Fluid (All Jobs),Total Prop/Perf LL (All Jobs),Township,True Vertical Depth,Vt Well Spacing Any Zone,Well Type,Cum BOE,Cum Oil,Cum Gas,Cum GOR,Cum Water,Cum BOE/Perf LL,Cum Gas/Perf LL,Cum Oil/Perf LL,Cum Water/Perf LL,First 12 BOE,First 12 BOE/Perf LL,First 12 Gas,First 12 Gas/Perf LL,First 12 GOR,First 12 Oil,First 12 Oil/Perf LL,First 12 Water,First 12 Water/Perf LL,First 6 BOE,First 6 BOE/Perf LL,First 6 Gas,First 6 Gas/Perf LL,First 6 GOR,First 6 Oil,First 6 Oil/Perf LL,First 6 Water,First 6 Water/Perf LL,Last 12 BOE,Last 12 BOE/Perf LL,Last 12 Gas,Last 12 Gas/Perf LL,Last 12 GOR,Last 12 Oil,Last 12 Oil/Perf LL,Last 12 Water,Last 12 Water/Perf LL,Last Month BOE,Last Month BOE/Perf LL,Last Month Gas,Last Month Gas/Perf LL,Last Month GOR,Last Month Oil,Last Month Oil/Perf LL,Last Month Water,Last Month Water/Perf LL,Months Produced,Created At,Updated At
NEW MEXICO AN STATE #009,009,30025209550000,525026fa-e035-4e51-9183-62ee7546b9ee,022,3002520955,300252095500,Permian Basin,014S,,,02/15/2013 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,4223,Ground,SAUNDERS,,,,,,,,,,,,,,,4223,false,true,,,,,PERMO UPPER PENN,,,NEW MEXICO AN STATE,,9885,10000,,,,120,01/13/2006 00:00:00,PERMO UPPER PENN,TEXACO EXPLORATION & PRODUCTION INC,TEXACO EXPLORATION AND PRODUCTION,,014S,033E,,NM,Plugged & Abandoned,33.0955429,-103.6044464,,PERMO UPPER PENN,33.0955429,-103.6044464,,,,,,,,10000,,WATER INJECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/11/2013 17:56:28,07/10/2023 00:44:29
STATE 26 #004,004,30025283120000,6f83ab9e-3983-4b56-82fd-6f2e3e14f727,026,3002528312,300252831200,Permian Basin,014S,,,03/08/2017 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,11/06/1983 00:00:00,4286,Ground,TULK,,,,,01/01/1993 00:00:00,,,,,,,,,,4286,false,true,,,,,PENNSYLVANIAN,11/01/2001 00:00:00,,STATE 26,,9886,10015,,,,214,01/13/2006 00:00:00,PENNSYLVANIAN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,032E,11/06/1983 00:00:00,NM,Plugged & Abandoned,33.0774574,-103.6904449,,PENNSYLVANIAN,33.0774574,-103.6904449,,,,,,,,10015,,VOLATILE OIL,13635,8178,32743,4.0038,16521,,,,,2444,,7639,,6.5235,1171,,1306,,1294,,3922,,6.1281,640,,644,,186,,1126,,1126,0,,1775,,9,,55,,55,0,,0,,94,02/11/2013 17:56:28,07/10/2023 00:44:27
NEW MEXICO AT STATE #014,014,30025288160000,07187fe6-c9ad-44c4-a875-7acf43935aaf,015,3002528816,300252881600,Permian Basin,014S,,,12/13/2016 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,4205,Ground,SAUNDERS,,,,,05/01/1993 00:00:00,,,,,,,,,,4205,false,true,,,,,PERMO UPPER PENN,01/01/1994 00:00:00,,NEW MEXICO AT STATE,,,10100,,,,,01/13/2006 00:00:00,PERMO UPPER PENN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,033E,,NM,Plugged & Abandoned,33.0991669,-103.6001740,,PERMO UPPER PENN,33.0991669,-103.6001740,,,,,,,,10100,,CONDENSATE,693,242,2701,11.1612,5366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,322,,16.1,20,,198,,9,02/11/2013 17:56:28,07/10/2023 10:38:05
JM HUBER STATE NCT 2 #001,001,30025299150000,547bacef-d3ef-46ce-b28f-7b5e63a974cc,011,3002529915,300252991500,Permian Basin,014S,,,07/29/2019 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,4194,Ground,SAUNDERS,,,,,01/01/1993 00:00:00,,,,,3,,3,24,,4194,false,true,,,,,PERMO UPPER PENN,05/01/2019 00:00:00,,JM HUBER STATE NCT 2,,9973,10035,,,,206,01/13/2006 00:00:00,PERMO UPPER PENN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,033E,,NM,Plugged & Abandoned,33.1136589,-103.5829163,,PERMO UPPER PENN,33.1136589,-103.5829163,,,,,,,,10035,,CONDENSATE,63429,39911,141151,3.5366,286390,,,,,2393,,2872,,1.4997,1915,,3184,,1299,,1308,,1.2089,1082,,1434,,268,,1610,,1610,0,,5507,,2,,12,,12,0,,0,,268,02/11/2013 17:56:28,07/10/2023 04:13:06
STATE 23 COM #002,002,30025287630000,32e3b108-e3a1-4d5b-816b-7e9c7f8b749a,023,3002528763,300252876300,Permian Basin,014S,,,11/21/2016 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,4291,Ground,TULK,,,,,01/01/1993 00:00:00,,,,,17,,8,30,,4291,false,true,,,,,PENNSYLVANIAN,03/01/2010 00:00:00,,STATE 23 COM,,9926,9985,,,,360,01/13/2006 00:00:00,PENNSYLVANIAN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,032E,,NM,Plugged & Abandoned,33.0847168,-103.6904449,,PENNSYLVANIAN,33.0847168,-103.6904449,,,,,,,,9985,,CONDENSATE,29140,12982,96916,7.4654,33928,,,,,2756,,4940,,2.5569,1932,,253,,1250,,2261,,2.587,874,,79,,874,,1477,,2.3557,627,,14186,,40,,138,,8.1176,17,,560,,134,02/11/2013 17:56:28,07/10/2023 09:52:10
STATE 36 #003,003,30025353020000,4dfe1058-dcc9-41a4-9ae8-800665d5b4ab,36,3002535302,300253530200,Permian Basin,13S,,,05/28/2001 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,05/28/2001 00:00:00,4292,Ground,BAUM,,,,,10/01/2001 00:00:00,,,,,78,,94,44,,4292,false,true,,,,,PENNSYLVANIAN,03/01/2023 00:00:00,,STATE 36,,9762,10000,,,,18,01/13/2006 00:00:00,PENNSYLVANIAN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,13S,32E,05/28/2001 00:00:00,NM,Inactive,33.1499800,-103.6646000,,PENNSYLVANIAN,33.1500000,-103.6646000,,,,,,,,10000,,BLACK OIL,26716.33322274685,19951,40592,2.0346,37386,,,,,5122,,4677,,1.0769,4343,,2150,,3058,,2813,,1.0865,2589,,453,,345,,0,,0,345,,1970,,20,,0,,0,20,,152,,258,02/11/2013 17:56:28,12/07/2023 02:10:46
NEW MEXICO BG STATE NCT 1 #003,003,30025219240000,0b6f96b5-5dfa-42e1-9e59-897bbd0aad7b,014,3002521924,300252192400,Permian Basin,014S,,,01/19/2017 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,4295,Ground,SAUNDERS,,,,,,,,,,,,,,,4295,false,true,,,,,PERMO UPPER PENN,,,NEW MEXICO BG STATE NCT 1,,,10045,,,,,01/13/2006 00:00:00,PERMO UPPER PENN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,033E,,NM,Plugged & Abandoned,33.1027870,-103.5883102,,PERMO UPPER PENN,33.1027870,-103.5883102,,,,,,,,10045,,OIL WELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/11/2013 17:56:28,07/10/2023 09:03:07
JM HUBER STATE NCT 1 #001,001,30025298830000,b5b5f611-1fab-4ed1-b027-8ee52b9cdddd,011,3002529883,300252988300,Permian Basin,014S,,,07/31/2019 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,4191,Ground,SAUNDERS,,,,,01/01/1993 00:00:00,,,,,,,,,,4191,false,true,,,,,PERMO UPPER PENN,04/01/2019 00:00:00,,JM HUBER STATE NCT 1,,,10185,,,,,01/13/2006 00:00:00,PERMO UPPER PENN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,033E,,NM,Plugged & Abandoned,33.1172829,-103.5787659,,PERMO UPPER PENN,33.1172829,-103.5787659,,,,,,,,10185,,VOLATILE OIL,70823,44048,160669,3.6476,270291,,,,,11067,,21812,,2.9349,7432,,23397,,5868,,10446,,2.5305,4128,,11699,,78,,470,,470,0,,8338,,0,,3,,3,0,,0,,305,02/11/2013 17:56:28,07/10/2023 04:35:45
NEW MEXICO BG STATE NCT 1 #010,010,30025298700000,bea9034b-7b85-49f8-a207-957068a9e0b1,014,3002529870,300252987000,Permian Basin,014S,,,04/20/2016 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,03/10/1987 00:00:00,4187,Ground,SAUNDERS,,,,,,,,,,,,,,,4187,false,true,,,,,PERMO UPPER PENN,,,NEW MEXICO BG STATE NCT 1,,9953,10100,,,,170,01/13/2006 00:00:00,PERMO UPPER PENN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,033E,03/10/1987 00:00:00,NM,Plugged & Abandoned,33.1000633,-103.5829315,,PERMO UPPER PENN,33.1000633,-103.5829315,,,,,,,,10100,,OIL WELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/11/2013 17:56:28,07/10/2023 10:44:29
STATE 26 #001,001,30025226190000,3f13c8d9-4f2e-4ddb-9f11-9a6571c5e705,026,3002522619,300252261900,Permian Basin,014S,,,09/27/2013 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,08/11/1968 00:00:00,4291,Ground,TULK,,,,,04/01/1996 00:00:00,,,,,,,,,,4291,false,true,,,,,PENNSYLVANIAN,01/01/2014 00:00:00,,STATE 26,,9736,10490,,,,-176,01/13/2006 00:00:00,PENNSYLVANIAN,EL PASO PRODUCTION OIL & GAS CO.,EP ENERGY E AND P COMPANY,,014S,032E,08/11/1968 00:00:00,NM,Plugged & Abandoned,33.0810852,-103.6947556,,PENNSYLVANIAN,33.0810852,-103.6947556,,,,,,,,10490,,VOLATILE OIL,75793,52861,137606,2.6032,143596,,,,,10251,,24794,,4.052,6119,,37445,,6063,,14891,,4.1583,3581,,20620,,425,,1240,,5.6881,218,,9384,,21,,0,,0,21,,0,,196,02/11/2013 17:56:28,07/10/2023 10:52:42
NEW MEXICO AQ STATE NCT 11 #001,001,30025219160000,4c3eb3a0-945e-460e-9733-a1d05eec9394,003,3002521916,300252191600,Permian Basin,014S,,,08/26/2016 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,11/11/1966 00:00:00,4210,Ground,LAZY J,,,,,01/01/1993 00:00:00,,,,,412,,208,198,,4210,false,true,,,,,PENNSYLVANIAN,09/01/2015 00:00:00,,NEW MEXICO AQ STATE NCT 11,,9931,10030,,,,163,01/13/2006 00:00:00,PENNSYLVANIAN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,033E,11/11/1966 00:00:00,NM,Plugged & Abandoned,33.1318092,-103.6001511,,PENNSYLVANIAN,33.1318092,-103.6001511,,,,,,,,10030,,VOLATILE OIL,220117,130067,540321,4.1542,314706,,,,,16393,,24590,,2.0002,12294,,52479,,8141,,13343,,2.255,5917,,27357,,3071,,7958,,4.5578,1746,,3933,,40,,2,,0.05,40,,362,,270,02/11/2013 17:56:28,07/10/2023 04:12:23
STATE 32 #003,003,30025282930000,6a510232-9c75-4847-bac3-a5f80f7f743c,32,3002528293,300252829300,Permian Basin,13S,,,10/01/1983 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,4268,Ground,BAUM,,,,,01/01/1993 00:00:00,,,,,,,,,,4268,false,true,,,,,PENNSYLVANIAN,04/01/2023 00:00:00,,STATE 32,,,10000,,,,,01/13/2006 00:00:00,PENNSYLVANIAN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,13S,33E,,NM,Active Producer,33.1427000,-103.6390000,,PENNSYLVANIAN,33.1426900,-103.6390000,,,,,,,,10000,,CONDENSATE,80092.83339214325,32907,283115,8.6035,79701,,,,,5885,,24976,,14.5041,1722,,918,,2988,,12890,,15.3452,840,,414,,645,,3871,,3871,0,,0,,8.333333015441895,,50,,50,0,,0,,361,02/11/2013 17:56:28,11/11/2023 00:29:43
NEW MEXICO AT STATE #013,013,30025288170000,f87d6194-ecd3-4719-81a4-a6787454ef5c,015,3002528817,300252881700,Permian Basin,014S,,,01/13/2017 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,4212,Ground,SAUNDERS,,,,,09/01/2007 00:00:00,,,,,8,,0,7,,4212,false,true,,,,,PERMO UPPER PENN,10/01/2016 00:00:00,,NEW MEXICO AT STATE,,9979,10095,,,,563,01/13/2006 00:00:00,PERMO UPPER PENN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,033E,,NM,Plugged & Abandoned,33.1064186,-103.6087646,,PERMO UPPER PENN,33.1064186,-103.6087646,,,,,,,,10095,,CONDENSATE,4354,1091,19571,17.9386,23436,,,,,107,,77,,0.8191,94,,808,,94,,77,,0.9506,81,,298,,69,,419,,419,0,,0,,1,,5,,5,0,,0,,105,02/11/2013 17:56:28,07/10/2023 07:38:02
